target,max_depth,Score,Baseline,Improvement,criterion,max_features,class_weight
country_02,16,0.5475341844339316,0.5195385911476897,0.027995593286241904,gini,auto,balanced
country_02,23,0.5474693798198432,0.5195385911476897,0.027930788672153484,entropy,auto,balanced_subsample
country_02,23,0.5474693798198432,0.5195385911476897,0.027930788672153484,entropy,sqrt,balanced_subsample
country_02,16,0.5474045752057547,0.5195385911476897,0.027865984058064952,entropy,auto,balanced
country_02,18,0.5474045752057547,0.5195385911476897,0.027865984058064952,gini,log2,balanced
country_02,16,0.5474045752057547,0.5195385911476897,0.027865984058064952,entropy,sqrt,balanced
country_02,22,0.5474045752057547,0.5195385911476897,0.027865984058064952,entropy,auto,balanced_subsample
country_02,22,0.5474045752057547,0.5195385911476897,0.027865984058064952,entropy,sqrt,balanced_subsample
country_02,18,0.5473397705916662,0.5195385911476897,0.02780117944397642,gini,auto,balanced_subsample
country_02,18,0.5473397705916662,0.5195385911476897,0.02780117944397642,gini,sqrt,balanced_subsample
country_02,22,0.5473397705916662,0.5195385911476897,0.02780117944397642,gini,log2,balanced_subsample
country_02,26,0.5472749659775776,0.5195385911476897,0.02773637482988789,entropy,sqrt,balanced_subsample
country_02,26,0.5472749659775776,0.5195385911476897,0.02773637482988789,entropy,auto,balanced_subsample
country_02,24,0.5472101613634891,0.5195385911476897,0.027671570215799357,gini,sqrt,balanced_subsample
country_02,24,0.5472101613634891,0.5195385911476897,0.027671570215799357,gini,auto,balanced_subsample
country_02,16,0.5470157475212235,0.5195385911476897,0.027477156373533762,entropy,sqrt,balanced_subsample
country_02,16,0.5470157475212235,0.5195385911476897,0.027477156373533762,entropy,auto,balanced_subsample
country_02,19,0.546950942907135,0.5195385911476897,0.02741235175944523,gini,auto,balanced
country_02,19,0.546950942907135,0.5195385911476897,0.02741235175944523,gini,sqrt,balanced
country_02,22,0.546950942907135,0.5195385911476897,0.02741235175944523,gini,log2,balanced
country_02,17,0.5468861382930464,0.5195385911476897,0.0273475471453567,entropy,log2,balanced
country_02,16,0.5468213336789579,0.5195385911476897,0.027282742531268167,gini,auto,balanced_subsample
country_02,16,0.5468213336789579,0.5195385911476897,0.027282742531268167,gini,sqrt,balanced_subsample
country_02,21,0.5466917244507808,0.5195385911476897,0.027153133303091104,gini,sqrt,balanced
country_02,24,0.5466917244507808,0.5195385911476897,0.027153133303091104,entropy,log2,balanced_subsample
country_02,24,0.5466917244507808,0.5195385911476897,0.027153133303091104,gini,sqrt,balanced
country_02,24,0.5466917244507808,0.5195385911476897,0.027153133303091104,gini,auto,balanced
country_02,21,0.5466917244507808,0.5195385911476897,0.027153133303091104,gini,auto,balanced
country_02,18,0.5464973106085154,0.5195385911476897,0.02695871946082562,entropy,log2,balanced_subsample
country_02,22,0.5464973106085154,0.5195385911476897,0.02695871946082562,entropy,sqrt,balanced
country_02,23,0.5464973106085154,0.5195385911476897,0.02695871946082562,gini,auto,balanced
country_02,15,0.5464973106085154,0.5195385911476897,0.02695871946082562,entropy,log2,balanced
country_02,22,0.5464973106085154,0.5195385911476897,0.02695871946082562,entropy,auto,balanced
country_02,23,0.5464973106085154,0.5195385911476897,0.02695871946082562,gini,sqrt,balanced
country_02,22,0.5464325059944268,0.5195385911476897,0.026893914846737088,entropy,log2,balanced_subsample
country_02,15,0.5464325059944268,0.5195385911476897,0.026893914846737088,gini,log2,balanced_subsample
country_02,19,0.5463677013803383,0.5195385911476897,0.026829110232648556,gini,sqrt,balanced_subsample
country_02,18,0.5463677013803383,0.5195385911476897,0.026829110232648556,gini,auto,balanced
country_02,18,0.5463677013803383,0.5195385911476897,0.026829110232648556,gini,sqrt,balanced
country_02,19,0.5463677013803383,0.5195385911476897,0.026829110232648556,gini,auto,balanced_subsample
country_02,20,0.5461732875380727,0.5195385911476897,0.02663469639038296,entropy,auto,balanced
country_02,20,0.5461732875380727,0.5195385911476897,0.02663469639038296,entropy,sqrt,balanced
country_02,16,0.5461732875380727,0.5195385911476897,0.02663469639038296,entropy,log2,balanced
country_02,20,0.5461084829239842,0.5195385911476897,0.02656989177629443,gini,log2,balanced
country_02,25,0.5461084829239842,0.5195385911476897,0.02656989177629443,gini,log2,balanced_subsample
country_02,23,0.5460436783098956,0.5195385911476897,0.026505087162205898,entropy,log2,balanced_subsample
country_02,21,0.54584926446763,0.5195385911476897,0.026310673319940303,entropy,log2,balanced
country_02,17,0.5457844598535416,0.5195385911476897,0.026245868705851882,gini,sqrt,balanced
country_02,17,0.5457844598535416,0.5195385911476897,0.026245868705851882,gini,auto,balanced
country_02,26,0.5457844598535416,0.5195385911476897,0.026245868705851882,entropy,log2,balanced_subsample
country_02,19,0.5457844598535416,0.5195385911476897,0.026245868705851882,gini,log2,balanced_subsample
country_02,23,0.5457196552394531,0.5195385911476897,0.02618106409176335,gini,sqrt,balanced_subsample
country_02,23,0.5457196552394531,0.5195385911476897,0.02618106409176335,gini,auto,balanced_subsample
country_02,21,0.5456548506253646,0.5195385911476897,0.02611625947767482,gini,log2,balanced
country_02,18,0.5455252413971875,0.5195385911476897,0.025986650249497756,gini,log2,balanced_subsample
country_02,18,0.545460436783099,0.5195385911476897,0.025921845635409224,entropy,sqrt,balanced
country_02,18,0.545460436783099,0.5195385911476897,0.025921845635409224,entropy,auto,balanced
country_02,20,0.5453956321690104,0.5195385911476897,0.025857041021320692,entropy,log2,balanced
country_02,21,0.5452660229408334,0.5195385911476897,0.02572743179314363,gini,log2,balanced_subsample
country_02,14,0.5452012183267448,0.5195385911476897,0.025662627179055097,entropy,log2,balanced
country_02,25,0.5451364137126563,0.5195385911476897,0.025597822564966566,entropy,log2,balanced_subsample
country_02,14,0.5450716090985678,0.5195385911476897,0.025533017950878034,gini,log2,balanced
country_02,21,0.5450716090985678,0.5195385911476897,0.025533017950878034,entropy,auto,balanced
country_02,21,0.5450716090985678,0.5195385911476897,0.025533017950878034,entropy,sqrt,balanced
country_02,20,0.5449419998703908,0.5195385911476897,0.025403408722701082,gini,log2,balanced_subsample
country_02,25,0.5448123906422138,0.5195385911476897,0.02527379949452402,gini,sqrt,balanced
country_02,25,0.5448123906422138,0.5195385911476897,0.02527379949452402,gini,auto,balanced
country_02,25,0.5448123906422138,0.5195385911476897,0.02527379949452402,entropy,log2,balanced
country_02,26,0.5448123906422138,0.5195385911476897,0.02527379949452402,gini,log2,balanced
country_02,24,0.5446179767999482,0.5195385911476897,0.025079385652258424,gini,log2,balanced
country_02,15,0.5445531721858596,0.5195385911476897,0.025014581038169892,gini,log2,balanced
country_02,25,0.5444883675717711,0.5195385911476897,0.02494977642408136,gini,log2,balanced
country_02,26,0.544229149115417,0.5195385911476897,0.024690557967727234,gini,log2,balanced_subsample
